Wall time,Step,Value
1608207939.6393142,0,0.1875
1608207940.631781,1,0.203125
1608207941.6272016,2,0.15625
1608207942.6149158,3,0.109375
1608207943.613657,4,0.21875
1608207944.622259,5,0.125
1608207945.634055,6,0.203125
1608207946.6402965,7,0.109375
1608207947.6397774,8,0.171875
1608207948.6297333,9,0.171875
1608207949.6180637,10,0.15625
1608207950.6325028,11,0.125
1608207951.617443,12,0.09375
1608207952.6062706,13,0.1875
1608207953.5908024,14,0.21875
1608207954.5887675,15,0.140625
1608207955.5770576,16,0.125
1608207956.566671,17,0.1875
1608207957.5534034,18,0.109375
1608207958.5367506,19,0.25
1608207959.5253592,20,0.171875
1608207960.5288236,21,0.21875
1608207961.5285475,22,0.109375
1608207962.5378344,23,0.140625
1608207963.5258205,24,0.078125
1608207964.5139668,25,0.21875
1608207965.50519,26,0.125
1608207966.505899,27,0.203125
1608207967.5018706,28,0.09375
1608207968.498734,29,0.109375
1608207969.4895358,30,0.265625
1608207970.4854846,31,0.15625
1608207971.4878247,32,0.21875
1608207972.4813268,33,0.234375
1608207973.4710684,34,0.171875
1608207974.4608133,35,0.1875
1608207975.4459498,36,0.15625
1608207976.4648583,37,0.171875
1608207977.4541984,38,0.25
1608207978.4670155,39,0.09375
1608207979.4598794,40,0.15625
1608207980.44997,41,0.1875
1608207981.4420755,42,0.171875
1608207982.4484792,43,0.21875
1608207983.4369607,44,0.1875
1608207984.4350724,45,0.21875
1608207985.4348414,46,0.203125
1608207986.4320312,47,0.203125
1608207987.4216838,48,0.21875
1608207988.4188378,49,0.234375
1608207989.4093862,50,0.171875
1608207990.402413,51,0.203125
1608207991.3978288,52,0.28125
1608207992.3858545,53,0.328125
1608207993.37838,54,0.328125
1608207994.366757,55,0.171875
1608207995.3530157,56,0.203125
1608207996.3439877,57,0.1875
1608207997.343004,58,0.171875
1608207998.3405492,59,0.265625
1608207999.327154,60,0.28125
1608208000.3191206,61,0.171875
1608208001.316805,62,0.109375
1608208002.3105087,63,0.1875
1608208003.3249438,64,0.1875
1608208004.3286955,65,0.125
1608208005.3259091,66,0.296875
1608208006.3264263,67,0.234375
1608208007.3342881,68,0.21875
1608208008.338246,69,0.265625
1608208009.3698995,70,0.203125
1608208010.3660846,71,0.1875
1608208011.3737183,72,0.1875
1608208012.3732247,73,0.125
1608208013.3793204,74,0.234375
1608208014.3996623,75,0.078125
1608208015.3987966,76,0.21875
1608208016.398775,77,0.25
1608208017.3976521,78,0.140625
1608208018.3988311,79,0.1875
1608208019.4049017,80,0.140625
1608208020.4093328,81,0.265625
1608208021.4117515,82,0.234375
1608208022.4102194,83,0.171875
1608208023.418339,84,0.203125
1608208024.4424167,85,0.3125
1608208025.462199,86,0.296875
1608208026.457592,87,0.21875
1608208027.45013,88,0.40625
1608208028.4468758,89,0.328125
1608208029.4447982,90,0.25
1608208030.4375675,91,0.296875
1608208031.4371336,92,0.359375
1608208032.4312117,93,0.234375
1608208033.430523,94,0.4375
1608208034.429202,95,0.3125
1608208035.426715,96,0.296875
1608208036.4244783,97,0.34375
1608208037.4215417,98,0.328125
1608208038.4296784,99,0.34375
1608208039.4841769,100,0.265625
1608208040.4797282,101,0.28125
1608208041.4805543,102,0.375
1608208042.4802775,103,0.421875
1608208043.4869676,104,0.421875
1608208044.491565,105,0.421875
1608208045.4945452,106,0.390625
1608208046.489825,107,0.3125
1608208047.4885964,108,0.34375
1608208048.5247924,109,0.484375
1608208049.529348,110,0.46875
1608208050.5681503,111,0.421875
1608208051.5887535,112,0.375
1608208052.6087275,113,0.28125
1608208053.6405225,114,0.40625
1608208054.651677,115,0.34375
1608208055.6586225,116,0.359375
1608208056.6646738,117,0.40625
1608208057.6759624,118,0.484375
1608208058.6913943,119,0.40625
1608208059.698932,120,0.359375
1608208060.7330298,121,0.5
1608208061.7381833,122,0.375
1608208062.7371004,123,0.34375
1608208063.7407823,124,0.328125
1608208064.7450702,125,0.515625
1608208065.741756,126,0.5625
1608208066.7396572,127,0.296875
1608208067.7456372,128,0.640625
1608208068.752828,129,0.53125
1608208069.7525036,130,0.5625
1608208070.7495787,131,0.59375
1608208071.779431,132,0.46875
1608208072.7931588,133,0.578125
1608208073.791945,134,0.5625
1608208074.7975922,135,0.546875
1608208075.8003767,136,0.65625
1608208076.7930768,137,0.59375
1608208077.7921486,138,0.625
1608208078.7936206,139,0.71875
1608208079.795244,140,0.65625
1608208080.7897131,141,0.671875
1608208081.8017714,142,0.578125
1608208082.826944,143,0.578125
1608208083.828038,144,0.59375
1608208084.8371847,145,0.546875
1608208085.8406687,146,0.75
1608208086.8357842,147,0.625
1608208087.8341727,148,0.703125
1608208088.8298078,149,0.6875
1608208089.8245323,150,0.625
1608208090.819318,151,0.71875
1608208091.833054,152,0.671875
1608208092.835542,153,0.640625
1608208093.8390892,154,0.671875
1608208094.8432848,155,0.578125
1608208095.852339,156,0.640625
1608208096.8648834,157,0.625
1608208097.875613,158,0.640625
1608208098.8870873,159,0.625
1608208099.89449,160,0.640625
1608208100.9055529,161,0.65625
1608208101.9197783,162,0.6875
1608208102.9309886,163,0.796875
1608208103.9419322,164,0.578125
1608208104.9671586,165,0.546875
1608208105.9734826,166,0.515625
1608208106.9759529,167,0.75
1608208107.9807925,168,0.71875
1608208108.9836478,169,0.703125
1608208109.9869144,170,0.71875
1608208110.989494,171,0.75
1608208111.994852,172,0.65625
1608208113.0001965,173,0.65625
1608208114.0037396,174,0.578125
1608208115.0047238,175,0.6875
1608208116.005488,176,0.796875
1608208117.005744,177,0.65625
1608208118.011916,178,0.703125
1608208119.0143337,179,0.6875
1608208120.0184805,180,0.75
1608208121.021498,181,0.65625
1608208122.0209966,182,0.765625
1608208123.0174289,183,0.71875
1608208124.0296423,184,0.765625
1608208125.031775,185,0.6875
1608208126.0318494,186,0.8125
1608208127.0274675,187,0.828125
1608208128.0287683,188,0.75
1608208129.0339546,189,0.734375
1608208130.036448,190,0.765625
1608208131.0393517,191,0.765625
1608208132.0365727,192,0.75
1608208133.0340993,193,0.671875
1608208134.037654,194,0.65625
1608208135.064031,195,0.6875
1608208136.0689242,196,0.71875
1608208137.0710733,197,0.703125
1608208138.0744677,198,0.78125
1608208139.075636,199,0.78125
1608208140.0751631,200,0.734375
1608208141.0764763,201,0.796875
1608208142.0915163,202,0.671875
1608208143.1026778,203,0.71875
1608208144.1064773,204,0.65625
1608208145.10447,205,0.703125
1608208146.116876,206,0.78125
1608208147.1152852,207,0.78125
1608208148.1182356,208,0.765625
1608208149.1238878,209,0.796875
1608208150.1271837,210,0.765625
1608208151.1355515,211,0.75
1608208152.1392133,212,0.734375
1608208153.1472585,213,0.78125
1608208154.1530566,214,0.75
1608208155.1582415,215,0.71875
1608208156.1629922,216,0.765625
1608208157.171959,217,0.765625
1608208158.18156,218,0.75
1608208159.233942,219,0.640625
1608208160.2404404,220,0.671875
1608208161.2776687,221,0.796875
1608208162.2822747,222,0.671875
1608208163.293818,223,0.75
1608208164.3042283,224,0.71875
1608208165.332675,225,0.828125
1608208166.3755136,226,0.640625
1608208167.3786552,227,0.828125
1608208168.379682,228,0.78125
1608208169.3815558,229,0.71875
1608208170.3841865,230,0.8125
1608208171.3998713,231,0.75
1608208172.4000301,232,0.8125
1608208173.4076796,233,0.875
1608208174.4140625,234,0.84375
1608208175.4274294,235,0.859375
1608208176.4425323,236,0.75
1608208177.4661267,237,0.75
1608208178.4877508,238,0.8125
1608208179.5042076,239,0.75
1608208180.5217822,240,0.765625
1608208181.5343108,241,0.71875
1608208182.5464318,242,0.78125
1608208183.5745199,243,0.71875
1608208184.5834901,244,0.78125
1608208185.5938103,245,0.875
1608208186.5972145,246,0.78125
1608208187.5986292,247,0.8125
1608208188.6174598,248,0.765625
1608208189.6243644,249,0.84375
1608208190.6333103,250,0.765625
1608208191.6346936,251,0.8125
1608208192.6378074,252,0.890625
1608208193.648577,253,0.796875
1608208194.653203,254,0.796875
1608208195.6549115,255,0.859375
1608208196.6525507,256,0.859375
1608208197.6708367,257,0.734375
1608208198.682493,258,0.796875
1608208199.6880312,259,0.859375
1608208200.7063217,260,0.8125
1608208201.7121196,261,0.765625
1608208202.7276285,262,0.875
1608208203.743578,263,0.84375
1608208204.740045,264,0.84375
1608208205.7433271,265,0.75
1608208206.7446594,266,0.8125
1608208207.7453969,267,0.84375
1608208208.7477508,268,0.796875
1608208209.751525,269,0.796875
1608208210.755391,270,0.78125
1608208211.7530794,271,0.859375
1608208212.7522104,272,0.75
1608208213.7540438,273,0.765625
1608208214.7480705,274,0.84375
1608208215.7411997,275,0.78125
1608208216.7465653,276,0.84375
1608208217.7441254,277,0.75
1608208218.753037,278,0.8125
1608208219.757481,279,0.84375
1608208220.7562153,280,0.84375
1608208221.7527006,281,0.8125
1608208222.750898,282,0.890625
1608208223.746805,283,0.828125
1608208224.7453792,284,0.8125
1608208225.7468138,285,0.828125
1608208226.7462747,286,0.8125
1608208227.7494245,287,0.828125
1608208228.7720885,288,0.859375
1608208229.774803,289,0.8125
1608208230.7776105,290,0.84375
1608208231.780543,291,0.828125
1608208232.7813513,292,0.828125
1608208233.783109,293,0.796875
1608208234.7796552,294,0.890625
1608208235.780997,295,0.78125
1608208236.7859094,296,0.859375
1608208237.7902024,297,0.875
1608208238.792354,298,0.890625
1608208239.795437,299,0.921875
1608208240.796212,300,0.859375
1608208241.8043897,301,0.8125
1608208242.8074257,302,0.828125
1608208243.812379,303,0.84375
1608208244.818461,304,0.796875
1608208245.843789,305,0.859375
1608208246.8425992,306,0.78125
1608208247.8446205,307,0.8125
1608208248.8451324,308,0.859375
1608208249.8451676,309,0.84375
1608208250.8496675,310,0.84375
1608208251.851577,311,0.875
1608208252.8498511,312,0.78125
1608208253.852429,313,0.828125
1608208254.8550608,314,0.8125
1608208255.8620794,315,0.875
1608208256.865385,316,0.90625
1608208257.8658125,317,0.921875
1608208258.864223,318,0.828125
1608208259.8841228,319,0.890625
1608208260.8861668,320,0.796875
1608208261.8947678,321,0.875
1608208262.896382,322,0.828125
1608208263.9049368,323,0.875
1608208264.9121842,324,0.796875
1608208265.932775,325,0.859375
1608208266.9327242,326,0.84375
1608208267.932168,327,0.828125
1608208268.9421484,328,0.9375
1608208269.9417472,329,0.8125
1608208270.9467037,330,0.796875
1608208271.9456248,331,0.90625
1608208272.9538,332,0.84375
1608208273.9550028,333,0.84375
1608208274.9604788,334,0.84375
1608208275.9669862,335,0.8125
1608208276.9667983,336,0.921875
1608208277.9708211,337,0.890625
1608208278.996037,338,0.890625
1608208280.0094504,339,0.859375
1608208281.0145159,340,0.78125
1608208282.0225272,341,0.875
1608208283.0315247,342,0.796875
1608208284.0373576,343,0.8125
1608208285.0539181,344,0.8125
1608208286.0595622,345,0.90625
1608208287.068519,346,0.890625
1608208288.0756898,347,0.90625
1608208289.0830927,348,0.859375
1608208290.098693,349,0.859375
1608208291.105849,350,0.78125
1608208292.140787,351,0.890625
1608208293.1569426,352,0.859375
1608208294.1663465,353,0.859375
1608208295.1675348,354,0.890625
1608208296.1802647,355,0.765625
1608208297.1882155,356,0.890625
1608208298.2013075,357,0.859375
1608208299.2094314,358,0.859375
1608208300.2186644,359,0.8125
1608208301.2261467,360,0.875
1608208302.2358787,361,0.828125
1608208303.2484832,362,0.765625
1608208304.2597704,363,0.875
1608208305.2730155,364,0.796875
1608208306.278843,365,0.890625
1608208307.2856832,366,0.890625
1608208308.2941902,367,0.921875
1608208309.3049672,368,0.90625
1608208310.318834,369,0.859375
1608208311.323912,370,0.8125
1608208312.330555,371,0.890625
1608208313.3395877,372,0.953125
1608208314.3483922,373,0.890625
1608208315.3656645,374,0.859375
1608208316.3753467,375,0.875
1608208317.3839698,376,0.796875
1608208318.3988268,377,0.9375
1608208319.4042387,378,0.90625
1608208320.412488,379,0.90625
1608208321.4158998,380,0.859375
1608208322.4251075,381,0.875
1608208323.4697404,382,0.734375
1608208324.4817123,383,0.78125
1608208325.4867325,384,0.765625
1608208326.5185692,385,0.828125
1608208327.524197,386,0.90625
1608208328.54585,387,0.9375
1608208329.5545828,388,0.828125
1608208330.5614688,389,0.859375
1608208331.5722725,390,0.875
1608208332.5827582,391,0.859375
1608208333.5897927,392,0.765625
1608208334.6134763,393,0.890625
1608208335.6191077,394,0.921875
1608208336.630061,395,0.890625
1608208337.6460574,396,0.90625
1608208338.6871386,397,0.921875
1608208339.6999319,398,0.890625
1608208340.7133782,399,0.84375
1608208341.7291372,400,0.828125
1608208342.7415793,401,0.875
1608208343.7581038,402,0.875
1608208344.7779558,403,0.8125
1608208345.8051627,404,0.875
1608208346.8223133,405,0.859375
1608208347.8386998,406,0.828125
1608208348.8513968,407,0.921875
1608208349.8617241,408,0.90625
1608208350.8665447,409,0.84375
1608208351.8763788,410,0.921875
1608208352.884042,411,0.921875
1608208353.9282222,412,0.90625
1608208354.950265,413,0.796875
1608208355.9663272,414,0.890625
1608208356.984684,415,0.84375
1608208358.0065541,416,0.921875
1608208359.027116,417,0.9375
1608208360.0396352,418,0.8125
1608208361.0713325,419,0.890625
1608208362.1065226,420,0.84375
1608208363.1257381,421,0.828125
1608208364.1379347,422,0.859375
1608208365.156359,423,0.859375
1608208366.1736157,424,0.890625
1608208367.1880617,425,0.8125
1608208368.2044027,426,0.828125
1608208369.2192492,427,0.953125
1608208370.2423303,428,0.96875
1608208371.2718158,429,0.875
1608208372.27508,430,0.9375
1608208373.2852442,431,0.8125
1608208374.2903636,432,0.890625
1608208375.2973778,433,0.890625
1608208376.2966225,434,0.890625
1608208377.3032012,435,0.765625
1608208378.3009865,436,0.84375
1608208379.3028,437,0.921875
1608208380.3061707,438,0.8125
1608208381.3055623,439,0.890625
1608208382.3079767,440,0.90625
1608208383.3154147,441,0.890625
1608208384.3194084,442,0.921875
1608208385.3250463,443,0.90625
1608208386.3456154,444,0.859375
1608208387.3497565,445,0.890625
1608208388.3569403,446,0.8125
1608208389.367178,447,0.90625
1608208390.379376,448,0.921875
1608208391.3885696,449,0.90625
1608208392.4020555,450,0.78125
1608208393.4117959,451,0.890625
1608208394.424532,452,0.96875
1608208395.4343097,453,0.921875
1608208396.4448624,454,0.875
1608208397.4587784,455,0.90625
1608208398.4761262,456,0.90625
1608208399.5028124,457,0.84375
1608208400.5107274,458,0.90625
1608208401.5240839,459,0.84375
1608208402.5361567,460,0.765625
1608208403.5465884,461,0.96875
1608208404.5550818,462,0.84375
1608208405.5671442,463,0.890625
1608208406.5899723,464,0.859375
1608208407.5759234,465,0.921875
1608208408.5672054,466,0.96875
1608208409.54582,467,0.90625
1608208410.308815,468,0.875
1608208510.6638508,469,0.921875
1608208511.6783404,470,0.890625
1608208512.694654,471,0.953125
1608208513.6855924,472,0.859375
1608208514.6742198,473,0.84375
1608208515.6635523,474,0.859375
1608208516.6551456,475,0.921875
1608208517.646196,476,0.875
1608208518.662917,477,0.90625
1608208519.6965501,478,0.90625
1608208520.6911983,479,0.84375
1608208521.6816168,480,0.890625
1608208522.671266,481,0.921875
1608208523.667613,482,0.984375
1608208524.6612012,483,0.921875
1608208525.6638453,484,0.828125
1608208526.6722217,485,0.875
1608208527.674549,486,0.953125
1608208528.6847003,487,0.78125
1608208529.6858907,488,0.890625
1608208530.6888099,489,0.875
1608208531.688565,490,0.953125
1608208532.6888509,491,0.875
1608208533.6881406,492,0.9375
1608208534.690922,493,0.921875
1608208535.6904628,494,0.8125
1608208536.6877997,495,0.96875
1608208537.6887586,496,0.84375
1608208538.6963146,497,0.828125
1608208539.6973143,498,0.890625
1608208540.6948223,499,0.890625
1608208541.693922,500,0.953125
1608208542.695591,501,0.90625
1608208543.717735,502,0.96875
1608208544.7266462,503,0.9375
1608208545.725678,504,0.953125
1608208546.7228286,505,0.90625
1608208547.718549,506,0.890625
1608208548.7122495,507,0.84375
1608208549.7068288,508,0.859375
1608208550.7092826,509,0.890625
