Wall time,Step,Value
1608127398.6056337,5,2.3301825523376465
1608127400.0054991,6,2.327937602996826
1608127405.6255703,10,2.316983938217163
1608127407.0453382,11,2.32480525970459
1608127409.8550003,13,2.333852529525757
1608127411.2613134,14,2.314028263092041
1608127412.686969,15,2.326721429824829
1608127414.0913987,16,2.2906830310821533
1608127415.502745,17,2.2776410579681396
1608127416.901145,18,2.3353514671325684
1608127418.3196356,19,2.294302225112915
1608127419.7329152,20,2.3139984607696533
1608127425.3864777,24,2.3063395023345947
1608127426.8091855,25,2.297163963317871
1608127438.104603,33,2.279526472091675
1608127439.5331364,34,2.2769112586975098
1608127442.3805828,36,2.307499647140503
1608127446.6134014,39,2.2999215126037598
1608127448.0516183,40,2.297654151916504
1608127450.8811822,42,2.2760467529296875
1608127452.3100657,43,2.289907455444336
1608127453.718284,44,2.304804801940918
1608127455.1478546,45,2.2821075916290283
1608127457.97899,47,2.281360387802124
1608127460.800007,49,2.283029794692993
1608127462.2266889,50,2.2651233673095703
1608127466.5301409,53,2.2794747352600098
1608127467.9550877,54,2.267113447189331
1608127469.380832,55,2.298654079437256
1608127470.822606,56,2.2804360389709473
1608127472.2593746,57,2.293273687362671
1608127476.5820034,60,2.2752387523651123
1608127478.0089803,61,2.2637746334075928
1608127480.8579407,63,2.270599126815796
1608127483.7133794,65,2.2640421390533447
1608127485.140865,66,2.251981258392334
1608127486.573075,67,2.2231948375701904
1608127488.0009646,68,2.2624895572662354
1608127492.3003502,71,2.2898736000061035
1608127493.7383778,72,2.250333070755005
1608127495.1698086,73,2.302748680114746
1608127496.5879047,74,2.2512731552124023
1608127499.4368887,76,2.2434310913085938
1608127503.7268558,79,2.254080295562744
1608127510.9178355,84,2.2519917488098145
1608127512.3456013,85,2.214686870574951
1608127513.801496,86,2.2154929637908936
1608127515.2356257,87,2.2244293689727783
1608127516.675302,88,2.228633165359497
1608127518.1134062,89,2.2632393836975098
1608127525.3590791,94,2.1843316555023193
1608127536.9132662,102,2.2028987407684326
1608127539.8301241,104,2.0955677032470703
1608127541.2883646,105,2.163855791091919
1608127542.7229404,106,2.1705269813537598
1608127552.9167964,113,2.0824666023254395
1608127557.243502,116,1.975157618522644
1608127560.1195586,118,1.9702081680297852
1608127561.5817783,119,2.0659890174865723
1608127563.0290952,120,2.022535562515259
1608127568.7994413,124,1.836148977279663
1608127570.2676535,125,2.053907871246338
1608127571.746205,126,2.0921294689178467
1608127576.0546336,129,1.9140853881835938
1608127577.4803817,130,1.9444361925125122
1608127581.839718,133,2.003711223602295
1608127587.5638793,137,1.9346623420715332
1608127590.4515874,139,1.9798475503921509
1608127593.3334572,141,1.8925719261169434
1608127594.7826936,142,1.8436907529830933
1608127596.2301211,143,1.750260829925537
1608127597.6764464,144,1.7620621919631958
1608127600.567326,146,1.966751217842102
1608127603.4728684,148,1.8359451293945312
1608127606.375351,150,1.8621606826782227
1608127610.7032738,153,1.7512513399124146
1608127612.134607,154,1.8003277778625488
1608127613.577002,155,1.7003097534179688
1608127616.4850326,157,1.7747869491577148
1608127617.9179342,158,1.805000901222229
1608127619.3637223,159,1.8478273153305054
1608127623.7078152,162,1.9334962368011475
1608127626.6115584,164,1.6673072576522827
1608127628.0702276,165,1.8238407373428345
1608127631.010848,167,1.7563716173171997
1608127632.4730024,168,1.7943912744522095
1608127636.814583,171,1.863680362701416
1608127642.598913,175,1.7673362493515015
1608127644.0529304,176,1.7410622835159302
1608127645.4918585,177,1.7706923484802246
1608127646.9330146,178,1.6728816032409668
1608127649.8067493,180,1.6318964958190918
1608127651.247038,181,1.744705080986023
1608127654.1585517,183,1.7440747022628784
1608127657.0586314,185,1.844849705696106
1608127658.504189,186,1.6084332466125488
1608127659.968058,187,1.7151901721954346
1608127661.4245915,188,1.6826170682907104
1608127664.3682165,190,1.7264436483383179
1608127665.8432825,191,1.6914758682250977
1608127676.031134,198,1.7237467765808105
1608127681.8319128,202,1.7038615942001343
1608127687.5947845,206,1.6351361274719238
1608127689.037942,207,1.5985761880874634
1608127690.5150547,208,1.690331220626831
1608127696.3396823,212,1.6838040351867676
1608127697.783922,213,1.6552188396453857
1608127699.2157834,214,1.545425295829773
1608127700.6705513,215,1.502397060394287
1608127705.0441399,218,1.6991186141967773
1608127706.488201,219,1.8309614658355713
1608127710.831724,222,1.8764092922210693
1608127712.2804275,223,1.7084569931030273
1608127715.207706,225,1.520199179649353
1608127716.6626813,226,1.5379700660705566
1608127718.113851,227,1.5337517261505127
1608127721.006226,229,1.689091682434082
1608127722.4384418,230,1.4101512432098389
1608127723.8968208,231,1.487258791923523
1608127725.356839,232,1.6079994440078735
1608127726.8257337,233,1.5154387950897217
1608127728.2652037,234,1.4905630350112915
1608127732.583939,237,1.7910106182098389
1608127734.0459714,238,1.4818840026855469
1608127736.9154785,240,1.6398627758026123
1608127742.677816,244,1.6152091026306152
1608127744.1458485,245,1.426669716835022
1608127747.0344965,247,1.5683099031448364
1608127749.9168484,249,1.428917407989502
1608127751.3753958,250,1.3430180549621582
1608127758.612027,255,1.2710635662078857
1608127762.9690857,258,1.5917115211486816
1608127764.4364953,259,1.5534554719924927
1608127765.8694973,260,1.6144587993621826
1608127767.3105764,261,1.3945683240890503
1608127770.201474,263,1.598242163658142
1608127775.9725847,267,1.3168630599975586
1608127778.8457766,269,1.6425482034683228
1608127781.7399302,271,1.2255864143371582
1608127783.198043,272,1.5474063158035278
1608127784.6377532,273,1.4787254333496094
1608127790.4349039,277,1.3434042930603027
1608127791.8887985,278,1.3941313028335571
1608127794.7830405,280,1.3104791641235352
1608127800.554017,284,1.4428437948226929
1608127807.7986152,289,1.4116315841674805
1608127810.674707,291,1.3697658777236938
1608127812.1481352,292,1.3913016319274902
1608127816.4459922,295,1.2975335121154785
1608127819.276935,297,1.339876413345337
1608127820.6681058,298,1.4084185361862183
1608127822.0711017,299,1.2755649089813232
1608127891.860098,301,1.3566734790802002
1608127893.3047636,302,1.4191044569015503
1608127894.7357473,303,1.385374903678894
1608127900.4871376,307,1.428023338317871
1608127901.9248438,308,1.2551156282424927
1608127904.814122,310,1.5607857704162598
1608127909.1346855,313,1.2078593969345093
1608127914.9047792,317,1.2948795557022095
1608127916.3373666,318,1.200655460357666
1608127917.7899232,319,1.408819317817688
1608127919.2312317,320,1.3745449781417847
1608127922.1422865,322,1.3450654745101929
1608127926.4760318,325,1.462772011756897
1608127927.9212897,326,1.323492407798767
1608127929.3684618,327,1.440651535987854
1608127933.7318797,330,1.3464850187301636
1608127935.1786907,331,1.3670926094055176
1608127938.0734522,333,1.2982385158538818
1608127946.7556076,339,1.3176302909851074
1608127949.6401987,341,1.3290791511535645
1608127952.5355182,343,1.3129383325576782
1608127953.9915528,344,1.259777545928955
1608127955.4387605,345,1.2069412469863892
1608127958.3288162,347,1.254310965538025
1608127959.777504,348,1.34914231300354
1608127966.9814098,353,1.3625640869140625
1608127968.4137769,354,1.2374550104141235
1608127971.2805192,356,1.140822410583496
1608127974.194269,358,1.3959890604019165
1608127975.6467474,359,1.4231524467468262
1608127977.0940046,360,1.3487286567687988
1608127981.4599912,363,1.264407753944397
1608127982.927001,364,1.3103814125061035
1608127984.3829517,365,1.1174794435501099
1608127987.2588658,367,1.018362045288086
1608127988.6914773,368,1.1647179126739502
1608127991.5901027,370,1.1025424003601074
1608127993.0472436,371,1.3208531141281128
1608127995.9667916,373,1.2193657159805298
1608127998.852253,375,1.2460438013076782
1608128001.757732,377,1.153282880783081
1608128003.191876,378,1.3433421850204468
1608128004.6153982,379,1.2528233528137207
1608128007.4990013,381,1.4035992622375488
1608128008.950849,382,1.3748605251312256
1608128013.2874587,385,1.2134552001953125
1608128014.7081354,386,1.210044026374817
1608128016.140214,387,1.2968223094940186
1608128017.5680676,388,1.1321808099746704
1608128020.4802322,390,1.5382277965545654
1608128021.9188092,391,1.1870508193969727
1608128023.3538892,392,1.315079689025879
1608128024.7895727,393,1.1286896467208862
1608128037.788727,402,1.1814426183700562
1608128039.2281055,403,1.098466157913208
1608128042.1244812,405,1.215395450592041
1608128046.445794,408,1.1719810962677002
1608128056.5362551,415,1.0762406587600708
1608128057.961217,416,1.1629862785339355
1608128063.7454517,420,1.2395635843276978
1608128065.1814828,421,1.097320318222046
1608128066.6253417,422,1.178992748260498
1608128069.4953346,424,1.0752321481704712
1608128072.3833573,426,1.3277761936187744
1608128075.2668972,428,1.0980972051620483
1608128078.1791735,430,0.9799711108207703
1608128091.1404536,439,1.235267162322998
1608128092.5707302,440,1.1764335632324219
1608128094.0105777,441,1.2829796075820923
1608128095.4406283,442,1.3541947603225708
1608128098.3044262,444,1.180739164352417
1608128099.7304895,445,1.0907254219055176
1608128104.0575216,448,1.0353646278381348
1608128108.3532665,451,1.081687331199646
1608128117.0677414,457,0.9309450387954712
1608128118.514799,458,1.1890650987625122
1608128119.9401388,459,1.036394476890564
1608128121.4119403,460,1.251632571220398
1608128122.8367512,461,1.1562234163284302
1608128125.7138216,463,1.0156868696212769
1608128127.1418047,464,0.8893851637840271
1608128128.5667746,465,0.919385552406311
1608128131.4706163,467,1.0847491025924683
1608128132.9573994,468,1.030286431312561
1608128134.394011,469,1.0541263818740845
1608128137.3079443,471,1.0371615886688232
1608128140.1888034,473,1.0428506135940552
1608128141.6492229,474,1.139129877090454
1608128147.4962497,478,1.2414084672927856
1608128157.5584686,485,1.0984547138214111
1608128158.9929976,486,1.0065195560455322
1608128161.8897715,488,1.1728860139846802
1608128163.3326848,489,1.033707618713379
1608128166.2031915,491,1.176729440689087
1608128169.101549,493,0.94779372215271
1608128173.45997,496,1.101945400238037
1608128183.5501223,503,1.027663230895996
1608128187.869478,506,1.341346025466919
1608128189.3297095,507,1.2291816473007202
1608128193.6793087,510,0.8590746521949768
1608128195.1343486,511,0.8225535750389099
1608128196.5748746,512,1.066832184791565
1608128199.4739873,514,0.9169235825538635
1608128200.8943853,515,0.9502222537994385
1608128202.33629,516,1.0882222652435303
1608128203.773888,517,1.0662418603897095
1608128206.6774588,519,1.0650432109832764
1608128213.8778605,524,0.965315043926239
1608128215.324725,525,1.2024908065795898
1608128223.9895148,531,0.9841558933258057
1608128226.879522,533,1.020206093788147
1608128228.316497,534,0.9978042840957642
1608128229.7626898,535,0.9615374803543091
1608128231.1985128,536,0.9322025775909424
1608128232.660199,537,0.9072789549827576
1608128234.122593,538,1.1588412523269653
1608128235.5473018,539,0.9257973432540894
1608128236.9943032,540,0.9148881435394287
1608128238.428425,541,0.8786889910697937
1608128239.847847,542,1.1163378953933716
1608128242.7185566,544,1.0759025812149048
1608128247.0662713,547,0.989309549331665
1608128248.5074468,548,0.8514723777770996
1608128249.929749,549,1.0049104690551758
1608128252.8000968,551,1.0141719579696655
1608128254.2446463,552,0.8707667589187622
1608128258.5600774,555,0.926724910736084
1608128261.4538574,557,0.8686113953590393
1608128264.344165,559,0.963029146194458
1608128265.77297,560,0.9130796194076538
1608128270.0967102,563,0.8766335248947144
1608128271.5479484,564,0.9260910153388977
1608128272.9910038,565,0.9933498501777649
1608128275.902634,567,0.9075415730476379
1608128277.341847,568,0.9670198559761047
1608128278.785043,569,0.8206658959388733
1608128281.6579974,571,0.8085326552391052
1608128284.6089067,573,0.9405267834663391
1608128286.0560877,574,0.9660695791244507
1608128290.427747,577,0.7252407670021057
1608128291.8779383,578,0.8789865374565125
1608128293.3500295,579,1.1517343521118164
1608128294.8096042,580,1.0427356958389282
1608128296.2635336,581,1.0246827602386475
1608128297.700709,582,0.9794595837593079
1608128299.1680007,583,0.8506324887275696
1608128300.595187,584,0.9292944073677063
1608128303.464753,586,0.7964548468589783
1608128304.9163237,587,0.835145890712738
1608128310.6435883,591,0.7611781358718872
1608128312.0812113,592,1.0023285150527954
1608128313.4991014,593,0.8071280717849731
1608128316.3795726,595,0.8418810367584229
1608128317.8058798,596,0.8180561065673828
1608128319.185968,597,0.8204553723335266
1608128320.5697055,598,0.8567654490470886
1608128389.559599,600,0.9087676405906677
1608128392.4196172,602,0.8552043437957764
1608128395.283347,604,0.9550411105155945
1608128398.164686,606,0.7498905658721924
1608128401.0467532,608,0.9297530651092529
1608128403.893545,610,0.6501576900482178
1608128405.3481886,611,0.9060331583023071
1608128406.7861314,612,0.9461907744407654
1608128411.0975847,615,0.8133425712585449
1608128416.900574,619,0.9438155293464661
1608128418.329376,620,0.7379754781723022
1608128421.2518406,622,1.0391759872436523
1608128422.694335,623,0.8732318878173828
1608128425.5656235,625,0.912340521812439
1608128431.3463829,629,0.7846911549568176
1608128432.8028157,630,0.8964182138442993
1608128435.7047546,632,0.8270105719566345
1608128438.6298118,634,0.7470694780349731
1608128444.4187899,638,0.6852160096168518
1608128448.780131,641,1.0248733758926392
1608128450.2219455,642,0.7253611087799072
1608128453.10846,644,0.6904547810554504
1608128454.527694,645,0.6752879619598389
1608128455.9796543,646,0.7790586352348328
1608128457.4041188,647,0.7373852729797363
1608128458.8327188,648,0.7417644262313843
1608128460.2557309,649,0.730508029460907
1608128461.6840599,650,0.7934858798980713
1608128463.1334012,651,0.990631639957428
1608128464.5598674,652,1.0195943117141724
1608128470.3388667,656,0.816046953201294
1608128471.7752502,657,0.621531069278717
1608128474.6892183,659,0.7794604301452637
1608128477.5663812,661,0.8885310888290405
1608128481.909438,664,0.755028486251831
1608128484.7855358,666,0.5525933504104614
1608128486.2193117,667,0.6817492842674255
1608128487.6541,668,0.918550968170166
1608128491.9805405,671,0.7533062100410461
1608128493.4147582,672,0.7128617167472839
1608128494.8581226,673,0.7111412882804871
1608128496.2985387,674,0.6813817024230957
1608128497.737288,675,0.7667574286460876
1608128500.624714,677,0.8010492920875549
1608128502.0617979,678,0.5820498466491699
1608128503.5088692,679,0.7002956867218018
1608128506.4050443,681,0.7038636803627014
1608128507.8540807,682,0.6307241320610046
1608128509.2919548,683,0.66969895362854
1608128510.7440658,684,0.7916414737701416
1608128512.194911,685,0.7345371842384338
1608128513.639062,686,0.7749269008636475
1608128516.5431902,688,0.7686333656311035
1608128518.0014954,689,0.7104672193527222
1608128522.3387215,692,0.7881829142570496
1608128528.075803,696,0.8762367367744446
1608128532.3740332,699,0.6952739953994751
1608128533.8383522,700,0.6007459163665771
1608128535.2858741,701,0.7862138152122498
1608128536.7252767,702,0.7292083501815796
1608128538.17159,703,0.909779965877533
1608128539.6326873,704,0.8278836607933044
1608128541.0719948,705,0.6419750452041626
1608128542.5110793,706,0.6275219917297363
1608128545.4024522,708,0.7789384722709656
1608128546.8359628,709,0.7191333174705505
1608128548.2937613,710,0.6691667437553406
1608128554.0424337,714,0.6906265020370483
1608128559.8212767,718,0.7381110191345215
1608128561.2625937,719,0.6410247683525085
1608128564.1712828,721,0.5950230360031128
1608128565.6268756,722,0.7201564908027649
1608128567.0876644,723,0.667508065700531
1608128568.5337172,724,0.6654344797134399
1608128569.9930289,725,0.489439457654953
1608128571.435343,726,0.6620323061943054
1608128575.7954159,729,0.745405375957489
1608128577.230523,730,0.6617769598960876
1608128578.7035077,731,0.7788183093070984
1608128585.9109797,736,0.9088817834854126
1608128588.810467,738,0.6378617882728577
1608128590.266856,739,0.6125206351280212
1608128591.7114751,740,0.7722672820091248
1608128593.1718595,741,0.6290014386177063
1608128596.1625278,743,0.8529210686683655
1608128600.6117878,746,0.6584982872009277
1608128602.0764716,747,0.7180611491203308
1608128606.4382725,750,0.7447107434272766
1608128607.8782094,751,0.6271059513092041
1608128609.3251696,752,0.7063331604003906
1608128612.2283447,754,0.7083471417427063
1608128615.1118143,756,0.5515394806861877
1608128619.4362252,759,0.47616341710090637
1608128620.8858757,760,0.5398889780044556
1608128623.7818415,762,0.8378368616104126
1608128628.1564004,765,0.633991003036499
1608128629.5863929,766,0.8256089687347412
1608128631.0359542,767,0.714069664478302
