Wall time,Step,Value
1608205745.641491,0,0.234375
1608205749.1139464,1,0.28125
1608205752.5871885,2,0.15625
1608205756.104511,3,0.1875
1608205759.5817993,4,0.1875
1608205763.0661309,5,0.140625
1608205766.553366,6,0.171875
1608205770.0549135,7,0.28125
1608205773.512263,8,0.359375
1608205776.9752843,9,0.28125
1608205780.4536283,10,0.328125
1608205783.9323823,11,0.328125
1608205787.4587991,12,0.328125
1608205790.921433,13,0.34375
1608205794.4102523,14,0.4375
1608205797.9001403,15,0.390625
1608205801.369716,16,0.3125
1608205804.8445756,17,0.453125
1608205808.3251333,18,0.484375
1608205811.8131752,19,0.359375
1608205815.279379,20,0.5625
1608205818.7647483,21,0.453125
1608205822.2550023,22,0.53125
1608205825.746003,23,0.421875
1608205829.2085414,24,0.515625
1608205832.6751819,25,0.4375
1608205836.1597013,26,0.453125
1608205839.6470726,27,0.484375
1608205843.1475906,28,0.609375
1608205846.6471944,29,0.5625
1608205850.1402426,30,0.578125
1608205853.6240509,31,0.578125
1608205857.1025383,32,0.59375
1608205860.577097,33,0.578125
1608205864.0233915,34,0.546875
1608205867.492432,35,0.5625
1608205870.9526613,36,0.609375
1608205874.4190218,37,0.59375
1608205877.915408,38,0.578125
1608205881.3994882,39,0.703125
1608205884.8814797,40,0.609375
1608205888.3543758,41,0.765625
1608205891.9942334,42,0.703125
1608205895.4500217,43,0.546875
1608205898.941327,44,0.75
1608205902.441664,45,0.6875
1608205905.984888,46,0.734375
1608205909.5014281,47,0.734375
1608205913.0391972,48,0.671875
1608205916.550491,49,0.703125
1608205920.053692,50,0.734375
1608205923.5395381,51,0.65625
1608205927.0331008,52,0.734375
1608205930.5338995,53,0.78125
1608205934.0066147,54,0.796875
1608205937.4832594,55,0.765625
1608205940.9544036,56,0.703125
1608205944.4626272,57,0.796875
1608205947.94418,58,0.765625
1608205951.431218,59,0.828125
1608205954.911477,60,0.8125
1608205958.3950984,61,0.734375
1608205961.8649123,62,0.71875
1608205965.3603346,63,0.8125
1608205968.8601172,64,0.765625
1608205972.3296986,65,0.796875
1608205975.8287091,66,0.796875
1608205979.3253598,67,0.828125
1608205982.7938986,68,0.796875
1608205986.2771018,69,0.890625
1608205989.7612858,70,0.734375
1608205993.242641,71,0.875
1608205996.7381797,72,0.734375
1608206000.217208,73,0.84375
1608206003.7256558,74,0.84375
1608206007.2179399,75,0.828125
1608206010.7063272,76,0.890625
1608206014.170272,77,0.8125
1608206017.664861,78,0.875
1608206021.1508577,79,0.84375
1608206024.6335695,80,0.828125
